Distance,Rx,Ry,Rz,Atom1,Atom2,Orb1,Orb2,ReH,ImH,rx,ry,rz
0.0,0,0,0,1,1,pz,pz,-2517.908,0.0,0.0,0.0,0.0
0.0,0,0,0,2,2,pz,pz,-2517.908,0.0,0.0,0.0,0.0
1.4368902820793894,0,0,0,1,2,pz,pz,-2830.899,-0.0,1.24438348254,-0.7184451483,0.0
1.4368902820793894,0,0,0,2,1,pz,pz,-2830.899,0.0,-1.24438348254,0.7184451483,0.0
1.4371058570857218,0,-1,0,1,2,pz,pz,-2830.21,-0.0,-0.00012441745999991483,1.4371058517000002,0.0
1.4371058570857218,0,1,0,2,1,pz,pz,-2830.21,0.0,0.00012441745999991483,-1.4371058517000002,0.0
1.4371058714333236,1,0,0,1,2,pz,pz,-2830.551,-0.0,-1.24463241746,-0.7184451483,0.0
1.4371058714333236,-1,0,0,2,1,pz,pz,-2830.551,0.0,1.24463241746,0.7184451483,0.0
2.4890158751529508,0,-1,0,1,1,pz,pz,238.166,0.0,-1.2445079,2.155551,0.0
2.4890158751529508,0,1,0,1,1,pz,pz,238.166,-0.0,1.2445079,-2.155551,0.0
2.4890158751529508,0,-1,0,2,2,pz,pz,238.166,-0.0,-1.2445079,2.155551,0.0
2.4890158751529508,0,1,0,2,2,pz,pz,238.166,0.0,1.2445079,-2.155551,0.0
2.4890159,-1,0,0,1,1,pz,pz,238.216,-0.0,2.4890159,0.0,0.0
2.4890159,1,0,0,1,1,pz,pz,238.216,0.0,-2.4890159,0.0,0.0
2.4890159,-1,0,0,2,2,pz,pz,238.216,0.0,2.4890159,0.0,0.0
2.4890159,1,0,0,2,2,pz,pz,238.216,-0.0,-2.4890159,0.0,0.0
2.489015925152951,-1,-1,0,1,1,pz,pz,238.11599999999999,-0.0,1.2445080000000002,2.155551,0.0
2.489015925152951,1,1,0,1,1,pz,pz,238.11599999999999,0.0,-1.2445080000000002,-2.155551,0.0
2.489015925152951,-1,-1,0,2,2,pz,pz,238.11599999999999,0.0,1.2445080000000002,2.155551,0.0
2.489015925152951,1,1,0,2,2,pz,pz,238.11599999999999,-0.0,-1.2445080000000002,-2.155551,0.0
2.8739961509973937,1,1,0,1,2,pz,pz,-247.307,-0.0,-0.00012451746000019526,-2.8739961483,0.0
2.8739961509973937,-1,-1,0,2,1,pz,pz,-247.307,0.0,0.00012451746000019526,2.8739961483,0.0
2.873996179686143,-1,-1,0,1,2,pz,pz,-247.29000000000002,-0.0,2.48889148254,1.4371058517000002,0.0
2.873996179686143,1,1,0,2,1,pz,pz,-247.29000000000002,0.0,-2.48889148254,-1.4371058517000002,0.0
2.8742116743544224,1,-1,0,1,2,pz,pz,-247.273,-0.0,-2.48914031746,1.4371058517000002,0.0
2.8742116743544224,-1,1,0,2,1,pz,pz,-247.273,0.0,2.48914031746,-1.4371058517000002,0.0
3.801898759110388,0,1,0,1,2,pz,pz,11.584000000000001,-0.0,2.48889138254,-2.8739961483,0.0
3.801898759110388,0,-1,0,2,1,pz,pz,11.584000000000001,0.0,-2.48889138254,2.8739961483,0.0
3.801898786220625,-1,0,0,1,2,pz,pz,11.577,-0.0,3.73339938254,-0.7184451483,0.0
3.801898786220625,1,0,0,2,1,pz,pz,11.577,0.0,-3.73339938254,0.7184451483,0.0
3.802061776794538,-1,-2,0,1,2,pz,pz,11.613,-0.0,1.2443835825400003,3.5926568517,0.0
3.802061776794538,1,2,0,2,1,pz,pz,11.613,0.0,-1.2443835825400003,-3.5926568517,0.0
3.802061793063887,2,1,0,1,2,pz,pz,11.603,-0.0,-2.4891404174600003,-2.8739961483,0.0
3.802061793063887,-2,-1,0,2,1,pz,pz,11.603,0.0,2.4891404174600003,2.8739961483,0.0
3.8021431929548375,0,-2,0,1,2,pz,pz,11.606,-0.0,-1.2446323174599998,3.5926568517,0.0
3.8021431929548375,0,2,0,2,1,pz,pz,11.606,0.0,1.2446323174599998,-3.5926568517,0.0
3.802143236332332,2,0,0,1,2,pz,pz,11.588,-0.0,-3.73364831746,-0.7184451483,0.0
3.802143236332332,-2,0,0,2,1,pz,pz,11.588,0.0,3.73364831746,0.7184451483,0.0
4.311101956433812,-1,1,0,1,1,pz,pz,50.812000000000005,0.0,3.7335238,-2.155551,0.0
4.311101956433812,1,-1,0,1,1,pz,pz,50.812000000000005,-0.0,-3.7335238,2.155551,0.0
4.311101956433812,-1,1,0,2,2,pz,pz,50.812000000000005,-0.0,3.7335238,-2.155551,0.0
4.311101956433812,1,-1,0,2,2,pz,pz,50.812000000000005,0.0,-3.7335238,2.155551,0.0
4.311102000000001,-1,-2,0,1,1,pz,pz,50.797000000000004,0.0,1.0000000028043132e-07,4.311102,0.0
4.311102000000001,1,2,0,1,1,pz,pz,50.797000000000004,-0.0,-1.0000000028043132e-07,-4.311102,0.0
4.311102000000001,-1,-2,0,2,2,pz,pz,50.797000000000004,-0.0,1.0000000028043132e-07,4.311102,0.0
4.311102000000001,1,2,0,2,2,pz,pz,50.797000000000004,0.0,-1.0000000028043132e-07,-4.311102,0.0
4.311102043036352,-2,-1,0,1,1,pz,pz,50.804,0.0,3.7335239000000002,2.155551,0.0
4.311102043036352,2,1,0,1,1,pz,pz,50.804,-0.0,-3.7335239000000002,-2.155551,0.0
4.311102043036352,-2,-1,0,2,2,pz,pz,50.804,-0.0,3.7335239000000002,2.155551,0.0
4.311102043036352,2,1,0,2,2,pz,pz,50.804,0.0,-3.7335239000000002,-2.155551,0.0
4.9780317503059015,0,-2,0,1,1,pz,pz,-19.064999999999998,-0.0,-2.4890158,4.311102,0.0
4.9780317503059015,0,2,0,1,1,pz,pz,-19.064999999999998,0.0,2.4890158,-4.311102,0.0
4.9780317503059015,0,-2,0,2,2,pz,pz,-19.064999999999998,0.0,-2.4890158,4.311102,0.0
4.9780317503059015,0,2,0,2,2,pz,pz,-19.064999999999998,-0.0,2.4890158,-4.311102,0.0
